Reliability,Latency
100, -3383
100, -3745
100, -828
100, -5218
100, -6428
100, -4329
100, -5782
100, -1651
100, -4054
100, -6580
100, -2140
100, -5167
100, -1209
100, -4945
100, -1562
100, -6014
100, -3335
100, -835
100, -5916
100, -4809
100, -3377
100, -2258
100, -8178
100, -6581
100, -4847
100, -4166
100, -2851
100, -1423
100, -7692
100, -6789
100, -5467
100, -4558
100, -3209
100, -2026
100, -8054
100, -7018
100, -6187
100, -3544
100, -3824
100, -2437
100, -8222
100, -6506
100, -5687
