InConnections,,,, InConnections (Old),,,, OutConnections,,,, OutConnections(Old)
MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,
0,156,12,0,0,3363,114,0,157,0,0,531335,476,0,0,1537072,
0,1085704,2537,0,0,1767624,10380,0,7757,0,0,0,2,0,0,1285,
0,225,231,0,0,236594,2210,0,1676,0,0,290759,8505,0,0,3161148,
0,420465,2286,0,0,4489102,0,0,4,0,0,225,18,0,0,185191,
0,291154,785,0,0,1506611,7500,0,786,0,0,435450,13651,0,0,4361349,
0,21,5,0,0,517,16,0,228,0,0,246117,1815,0,0,1553764,
0,249324,2589,0,0,2696406,13615,0,2344,0,0,44096,0,0,0,996,
0,215,168,0,0,196245,1395,0,1606,0,0,510129,7942,0,0,3198498,
0,451092,1654,0,0,4480807,18732,0,1,0,0,300,17,0,0,168769,
0,603714,1709,0,0,1784478,6113,0,1271,0,0,610564,14484,0,0,4703985,
0,116067,2,0,0,367,15,0,151,0,0,227976,1551,0,0,1446153,
0,368017,2321,0,0,2368978,13640,0,1466,0,0,108733,18553,0,0,75,
0,150,91,0,0,152643,1420,0,2222,0,0,458747,7045,0,0,3627676,
0,329782,1548,0,0,4017677,20424,0,1,0,0,205,12,0,0,204350,
0,354608,1597,0,0,1810112,7428,0,1401,0,0,325165,13172,0,0,4074272,
0,40438,0,0,0,292,7,0,127,0,0,257368,1421,0,0,1573144,
0,343866,1732,0,0,2772451,14110,0,1341,0,0,81722,19564,0,0,171,
0,536,41,0,0,128589,1086,0,1450,0,0,276843,7130,0,0,2829840,
0,472032,2070,0,0,4427170,21105,0,0,0,0,227,13,0,0,3188,
0,127643,833,0,0,812468,5021,0,2785,0,0,492263,10399,0,0,5014592,
0,572627,718,0,0,196,7,0,51,0,0,151341,886,0,0,1177531,
0,366671,2765,0,0,2680803,12094,0,1889,0,0,356032,19086,0,0,150,
0,215,3,0,0,226331,1151,0,1533,0,0,482112,6765,0,0,3315120,
0,391359,3046,0,0,4086944,18295,0,55,0,0,96,6,0,0,60643,
0,186434,1139,0,0,745857,5486,0,3112,0,0,602096,14498,0,0,4503222,
0,179386,552,0,0,121,4,0,4,0,0,294753,1232,0,0,1536366,
0,531477,2234,0,0,2988273,13682,0,2048,0,0,255894,19795,0,0,0,
0,21,3,0,0,56905,612,0,1719,0,0,394392,6873,0,0,2890788,
0,335550,2573,0,0,4340733,19449,0,775,0,0,171,6,0,0,42305,
0,265922,1212,0,0,1370548,5682,0,2274,0,0,326039,12382,0,0,4134241,
0,220027,987,0,0,46,3,0,5,0,0,156412,808,0,0,920506,
