InConnections,,,, InConnections (Old),,,, OutConnections,,,, OutConnections(Old)
MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,
0,408,9,0,0,2681,109,0,218,0,0,10526598,5143,0,0,68789258,
0,16023571,13688,0,0,78256543,57510,0,23529,0,0,21,3,0,0,1134,
0,384697,1021,0,0,14698605,10426,0,6561,0,0,9444015,48109,0,0,136793135,
0,10645652,20000,0,0,150324953,0,0,7,0,0,321,59,0,0,12629607,
0,9186781,8568,0,0,65267892,46985,0,22149,0,0,11315762,80174,0,0,168322265,
0,0,6,0,0,1180,32,0,1622,0,0,16218703,10653,0,0,80367306,
0,5524837,14286,0,0,116159109,70171,0,12637,0,0,117,5,0,0,1488,
0,1253141,1265,0,0,14598198,11652,0,8733,0,0,6058497,50505,0,0,128118194,
0,11946425,16708,0,0,231532005,0,0,4,0,0,352428,166,0,0,10874354,
0,15887209,7064,0,0,82746036,41059,0,9852,0,0,5839152,77450,0,0,135666367,
0,0,2,0,0,646,22,0,1658,0,0,13041991,10392,0,0,66346557,
0,7096610,13330,0,0,119319915,78148,0,32452,0,0,0,2,0,0,975,
0,484442,1108,0,0,19319252,14443,0,8069,0,0,10500518,48100,0,0,106900492,
0,12581206,22722,0,0,184067499,0,0,0,0,0,96,14,0,0,8888530,
0,12360017,8699,0,0,59739843,42778,0,10703,0,0,10489341,81228,0,0,195950900,
0,21,2,0,0,636,17,0,1580,0,0,16273164,14431,0,0,75439195,
0,18894728,21478,0,0,132842962,64073,0,5303,0,0,3998230,0,0,0,482,
0,140812,663,0,0,8977567,7835,0,6484,0,0,11014769,40502,0,0,125341025,
0,11599190,13567,0,0,174715271,98836,0,3,0,0,303,17,0,0,1513651,
0,6760229,6497,0,0,37280409,27339,0,11762,0,0,6854889,54730,0,0,116918947,
0,12221109,2,0,0,517,20,0,731,0,0,7461576,9474,0,0,67451754,
0,13959481,8602,0,0,117563098,72082,0,21271,0,0,4135434,98771,0,0,288,
0,311,416,0,0,6584130,7458,0,6064,0,0,6486642,32583,0,0,85120488,
0,15852667,23113,0,0,111223044,89308,0,0,0,0,225,9,0,0,5068575,
0,10575816,7518,0,0,60224570,38393,0,18435,0,0,6360667,63801,0,0,124457036,
0,4765057,0,0,0,486,22,0,610,0,0,10002374,8686,0,0,45270553,
0,5340496,14112,0,0,100990831,66840,0,13184,0,0,15330101,91073,0,0,161,
0,300,231,0,0,6546925,8394,0,10013,0,0,20719571,40508,0,0,113585067,
0,10427805,21189,0,0,163957618,106377,0,1,0,0,215,10,0,0,2989246,
0,16663402,6700,0,0,53666436,37285,0,13978,0,0,5694040,55094,0,0,119757467,
0,2395974,14324,0,0,196,8,0,349,0,0,7610509,6762,0,0,41115107,
0,9490108,13139,0,0,111112407,68958,0,27766,0,0,3977751,74266,0,0,225,
0,407,93,0,0,2337462,5612,0,4578,0,0,5945520,39941,0,0,87148441,
0,13041454,20416,0,0,218100966,102861,0,800,0,0,150,8,0,0,2539050,
0,7084166,7316,0,0,47531454,39026,0,14959,0,0,8867587,63201,0,0,144990338,
0,4913544,10074,0,0,142,7,0,135,0,0,7556054,5562,0,0,38111399,
0,8457135,10519,0,0,92026824,65805,0,39030,0,0,2687925,76055,0,0,0,
0,50,6,0,0,534,109,0,3336,0,0,7036497,16080,0,0,66109920,
0,19211100,15570,0,0,117762711,68688,0,26062,0,0,75,5,0,0,2619212,
0,14372937,5930,0,0,62875375,33572,0,9915,0,0,10146229,67172,0,0,161291785,
0,2326363,16144,0,0,46,1,0,21,0,0,9467433,4377,0,0,48883359,
0,8494947,8712,0,0,120062650,68923,0,16608,0,0,19412929,93044,0,0,0,
0,0,3,0,0,3019171,3008,0,8703,0,0,21895173,33273,0,0,121376332,
0,9569793,21141,0,0,152744893,88219,0,12383,0,0,117,4,0,0,1311420,
0,8404907,2873,0,0,36863629,24718,0,9911,0,0,10179247,77738,0,0,170021217,
0,4118752,13872,0,0,0,1,0,0,0,0,1321041,2199,0,0,41840614,
0,6362675,10284,0,0,97799145,61229,0,17922,0,0,7302011,93737,0,0,169684620,
0,0,1,0,0,1285116,2323,0,4971,0,0,11913333,27243,0,0,112734580,
0,10755705,17357,0,0,147765914,90131,0,10467,0,0,0,3,0,0,474580,
0,4945405,3813,0,0,38000646,23723,0,9997,0,0,20312612,60803,0,0,157669011,
0,6020747,4427,0,0,130702967,0,0,0,0,0,8409145,2651,0,0,52285442,
0,16071925,12585,0,0,103217364,59850,0,18562,0,0,6517074,92745,0,0,171101552,
0,42,5,0,0,443311,1312,0,5273,0,0,12854498,32546,0,0,136841123,
0,16190345,19459,0,0,170708763,88321,0,4179,0,0,0,2,0,0,322376,
0,10868629,3683,0,0,50447494,29785,0,11533,0,0,11067145,55060,0,0,119494231,
0,10253752,5560,0,0,193188251,0,0,3,0,0,432,18,0,0,4709847,
0,8179750,5912,0,0,48244146,31893,0,19925,0,0,8836827,63577,0,0,131837483,
0,21,2,0,0,442377,1229,0,4054,0,0,7858797,27701,0,0,90114460,
0,14547425,15056,0,0,142412683,84373,0,16168,0,0,59831,0,0,0,141221,
0,10264744,2842,0,0,41586011,20960,0,6692,0,0,11788340,56244,0,0,145805707,
0,7250780,18095,0,0,166103289,103100,0,0,0,0,4539927,900,0,0,29090701,
0,20175835,10213,0,0,85519721,55333,0,23398,0,0,10643625,89646,0,0,184806212,
0,222675,0,0,0,60604,294,0,3739,0,0,9974809,25059,0,0,106053044,
0,8292623,15981,0,0,195457908,93625,0,3780,0,0,4604691,109269,0,0,20424,
0,5433652,3237,0,0,33829792,23334,0,12456,0,0,8145741,60072,0,0,154141787,
0,22513741,21332,0,0,191220839,107283,0,0,0,0,851187,363,0,0,17242461,
0,9230213,9959,0,0,89410653,54052,0,24552,0,0,18071267,73532,0,0,176802503,
0,516850,0,0,0,271,157,0,3498,0,0,11410623,16132,0,0,76080297,
0,7611465,17842,0,0,114212382,70461,0,23658,0,0,1258440,99399,0,0,0,
0,7914955,1230,0,0,43254340,15433,0,12922,0,0,18598664,45453,0,0,153481239,
0,21924005,10747,0,0,187897846,100989,0,1,0,0,622493,174,0,0,19496208,
0,12018616,8099,0,0,103490564,44121,0,12631,0,0,9182704,83479,0,0,174449377,
0,1197373,0,0,0,196,56,0,2841,0,0,9379494,16388,0,0,72456572,
0,28707902,13243,0,0,195731299,87945,0,21319,0,0,735995,104831,0,0,0,
0,159,8,0,0,1172,511,0,3896,0,0,20002934,22121,0,0,111779683,
0,12452325,14388,0,0,136398965,75743,0,17173,0,0,278,10,0,0,1576,
0,1221084,2767,0,0,18184941,16827,0,10766,0,0,12567816,45106,0,0,109813900,
0,21196767,25124,0,0,121,4,0,6,0,0,3576909,569,0,0,22585166,
0,13200912,10873,0,0,85610417,48115,0,17107,0,0,18152177,85995,0,0,0,
0,246,6,0,0,1513,427,0,3608,0,0,9734108,20494,0,0,80269275,
0,26370094,12672,0,0,156820929,77874,0,21144,0,0,236,8,0,0,51701,
0,4072907,2651,0,0,27706136,22458,0,11345,0,0,11909973,53737,0,0,116104337,
0,17082623,25367,0,0,121,12,0,7,0,0,5392441,955,0,0,23821232,
