InConnections,,,, InConnections (Old),,,, OutConnections,,,, OutConnections(Old)
MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,
0,408,10,0,0,2849,109,0,139,0,0,299076,1454,0,0,1847001,
0,483002,1965,0,0,2669611,13130,0,5261,0,0,0,2,0,0,718,
0,290,195,0,0,455773,1839,0,1652,0,0,556959,9903,0,0,3983389,
0,524274,3451,0,0,4629489,0,0,4,0,0,267,16,0,0,308234,
0,437164,1345,0,0,2119748,8356,0,2097,0,0,353110,18303,0,0,4888518,
0,21,1,0,0,678,22,0,268,0,0,273181,2145,0,0,1849227,
0,364472,1475,0,0,3732480,16241,0,2151,0,0,79174,0,0,0,1693,
0,226,134,0,0,242520,2060,0,1483,0,0,521477,8287,0,0,3586845,
0,504904,3140,0,0,4574001,19977,0,5,0,0,161,27,0,0,330555,
0,285296,1317,0,0,1586916,7983,0,2097,0,0,319695,16410,0,0,4099375,
0,11739,1,0,0,367,14,0,180,0,0,506446,2415,0,0,2389615,
0,168845,1433,0,0,2927954,16910,0,2708,0,0,42799,22940,0,0,375,
0,225,92,0,0,177697,1677,0,1791,0,0,469727,8692,0,0,2998376,
0,209252,1607,0,0,4494085,21733,0,1,0,0,96,14,0,0,72581,
0,269927,1846,0,0,1396270,7767,0,2754,0,0,358904,14510,0,0,4075346,
0,76004,0,0,0,346,10,0,128,0,0,276349,1090,0,0,1780383,
0,226664,1189,0,0,3404235,15847,0,3611,0,0,79016,22399,0,0,267,
0,171,31,0,0,96074,1777,0,1691,0,0,191501,8588,0,0,2988769,
0,334123,2328,0,0,4290743,19184,0,0,0,0,247,14,0,0,2177,
0,168857,878,0,0,762156,4224,0,2326,0,0,307229,13579,0,0,3692501,
0,268701,1510,0,0,196,7,0,43,0,0,294800,1448,0,0,1648741,
0,321530,2097,0,0,3012606,14543,0,1584,0,0,187305,21343,0,0,150,
0,75,5,0,0,139266,1002,0,1120,0,0,124319,7525,0,0,3059693,
0,414776,2102,0,0,4824321,20772,0,56,0,0,192,11,0,0,57553,
0,217204,1695,0,0,1436356,7195,0,1299,0,0,240697,14115,0,0,3746541,
0,66104,2449,0,0,111,6,0,4,0,0,322064,1615,0,0,1577974,
0,442861,803,0,0,2584896,14057,0,4100,0,0,200344,21114,0,0,117,
0,96,3,0,0,101624,723,0,1110,0,0,277436,6621,0,0,2670268,
0,520896,1875,0,0,4459763,21717,0,2687,0,0,0,5,0,0,30880,
0,152864,1363,0,0,1312367,6856,0,1444,0,0,352202,14009,0,0,4175861,
0,99288,2020,0,0,46,3,0,0,0,0,113411,598,0,0,995704,
0,375970,1611,0,0,3005069,12088,0,1621,0,0,205127,18560,0,0,0,
0,96,4,0,0,80940,611,0,1022,0,0,221774,6147,0,0,2202665,
0,199814,2221,0,0,5073727,22182,0,1771,0,0,75,4,0,0,39872,
0,228698,995,0,0,1426910,6054,0,1769,0,0,253241,14032,0,0,4144830,
0,186396,1296,0,0,0,2,0,1,0,0,121414,658,0,0,1199425,
0,286594,1695,0,0,2971451,14300,0,1096,0,0,145586,18569,0,0,4515539,
0,63,9,0,0,607,27,0,305,0,0,350993,2503,0,0,1901800,
0,361705,2315,0,0,3039888,15382,0,3064,0,0,75,3,0,0,15176,
0,122970,964,0,0,851338,5458,0,2492,0,0,351884,12198,0,0,3746056,
0,415340,2456,0,0,4745337,0,0,0,0,0,147404,343,0,0,1053926,
0,293874,1808,0,0,2511316,13868,0,2572,0,0,251688,21200,0,0,6141454,
0,0,1,0,0,2646,190,0,958,0,0,372248,5539,0,0,2901470,
0,352818,2571,0,0,3880802,18790,0,1931,0,0,0,2,0,0,3467,
0,124410,659,0,0,782123,5969,0,2884,0,0,336545,14327,0,0,5077714,
0,262031,1494,0,0,4544892,0,0,1,0,0,147102,326,0,0,1073413,
0,530667,1539,0,0,2299930,12728,0,2278,0,0,234583,19345,0,0,4919161,
0,21,1,0,0,421,79,0,700,0,0,234831,5091,0,0,2436883,
0,385535,2005,0,0,3794344,18269,0,1185,0,0,22544,0,0,0,225,
0,106811,333,0,0,1074167,3549,0,1803,0,0,237555,12258,0,0,4143981,
0,215713,843,0,0,4991920,21259,0,0,0,0,87018,164,0,0,594281,
0,367935,2127,0,0,2576162,10619,0,2389,0,0,169377,19449,0,0,4456546,
0,9273,2,0,0,367,89,0,1009,0,0,426763,4867,0,0,2342543,
0,624215,2443,0,0,3911015,18569,0,3662,0,0,16309,21991,0,0,225,
0,135856,571,0,0,742550,4215,0,2627,0,0,418993,12784,0,0,4358534,
0,198885,1967,0,0,5369781,22253,0,0,0,0,86,16,0,0,18450,
0,122187,1243,0,0,919804,5937,0,1648,0,0,541680,13389,0,0,4136133,
0,180243,0,0,0,271,26,0,638,0,0,299156,2774,0,0,1879477,
0,572291,1928,0,0,4567632,18313,0,1666,0,0,57386,22163,0,0,150,
0,115177,317,0,0,449035,3602,0,1764,0,0,339736,12130,0,0,3679269,
0,322521,853,0,0,4531248,20855,0,1,0,0,62412,35,0,0,638019,
0,281340,1631,0,0,2073548,10746,0,1802,0,0,497722,18527,0,0,5191431,
0,45414,457,0,0,196,12,0,456,0,0,287916,3989,0,0,1684393,
0,195899,2452,0,0,3700245,18890,0,2672,0,0,21092,20806,0,0,75,
0,82979,330,0,0,695288,2487,0,1238,0,0,418213,9050,0,0,3673063,
0,395088,2344,0,0,4451028,20785,0,2,0,0,8611,16,0,0,172529,
0,830975,1938,0,0,2773684,8124,0,1227,0,0,226571,15202,0,0,3314890,
0,20160,1,0,0,121,5,0,482,0,0,240395,3204,0,0,1383368,
0,385992,1059,0,0,4098071,17621,0,3008,0,0,27610,18145,0,0,75,
0,60757,165,0,0,962689,2279,0,1595,0,0,195441,9188,0,0,2981125,
0,274505,2381,0,0,5355090,20915,0,178,0,0,150,5,0,0,258941,
0,415954,1749,0,0,2382114,8069,0,1548,0,0,432363,15886,0,0,4552261,
0,22775,69,0,0,46,0,0,337,0,0,294075,1886,0,0,1325724,
0,582470,1151,0,0,4186487,15948,0,2834,0,0,22701,19639,0,0,0,
0,128,4,0,0,789,39,0,556,0,0,442359,3926,0,0,2023886,
0,312850,1847,0,0,3034014,16113,0,2320,0,0,21,5,0,0,1204,
0,26606,283,0,0,425756,2269,0,1890,0,0,427069,9623,0,0,3750127,
0,604564,2628,0,0,0,3,0,9,0,0,30322,33,0,0,535128,
0,359124,1512,0,0,1764632,10530,0,1605,0,0,332720,19033,0,0,5643240,
0,150,2,0,0,871,21,0,483,0,0,475763,3321,0,0,2306895,
0,558502,1250,0,0,3797556,17836,0,1305,0,0,117,3,0,0,695,
0,22508,449,0,0,321249,2640,0,2049,0,0,407917,10490,0,0,3876698,
0,510163,1916,0,0,4073102,0,0,8,0,0,21,26,0,0,389592,
0,311477,1289,0,0,1886048,9760,0,3244,0,0,405962,17642,0,0,4924628,
