InConnections,,,, InConnections (Old),,,, OutConnections,,,, OutConnections(Old)
MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,
0,387,9,0,0,2636,108,0,43,0,0,452145,888,0,0,2693394,
0,1212419,437,0,0,5277229,6156,0,940,0,0,0,2,0,0,867,
0,150,78,0,0,465041,1172,0,851,0,0,748919,4099,0,0,6170437,
0,919764,372,0,0,9571973,0,0,2,0,0,140,20,0,0,272193,
0,864770,953,0,0,3286828,4057,0,632,0,0,607207,7261,0,0,9438816,
0,21,1,0,0,786,22,0,93,0,0,668552,991,0,0,3426593,
0,902160,763,0,0,6477160,7199,0,798,0,0,150605,0,0,0,600,
0,246,23,0,0,256127,665,0,801,0,0,620961,3889,0,0,5037701,
0,540296,417,0,0,9474224,7806,0,6,0,0,213,24,0,0,232320,
0,737012,738,0,0,3231245,4102,0,760,0,0,663763,6704,0,0,9738930,
0,149098,2,0,0,517,17,0,51,0,0,436553,822,0,0,3519838,
0,879749,606,0,0,6326423,7563,0,503,0,0,117482,9179,0,0,450,
0,365,14,0,0,263231,609,0,488,0,0,585996,3697,0,0,6375383,
0,561203,450,0,0,9540534,9406,0,0,0,0,300,10,0,0,72987,
0,631038,753,0,0,2812688,3740,0,763,0,0,612322,6493,0,0,8360824,
0,266426,0,0,0,346,13,0,25,0,0,460734,672,0,0,2877518,
0,438833,659,0,0,5694692,7713,0,531,0,0,141519,9162,0,0,0,
0,386,6,0,0,150224,745,0,422,0,0,785300,3748,0,0,7025739,
0,813617,692,0,0,9156253,9850,0,0,0,0,358,16,0,0,1027,
0,171705,345,0,0,1333440,2254,0,665,0,0,848218,5115,0,0,8274854,
0,493238,541,0,0,196,6,0,9,0,0,412576,715,0,0,2405777,
0,732319,400,0,0,5986182,6611,0,865,0,0,321989,9136,0,0,150,
0,225,2,0,0,72188,326,0,518,0,0,934018,3036,0,0,5307926,
0,849501,564,0,0,9378476,9060,0,45,0,0,140,6,0,0,66886,
0,415130,439,0,0,2628239,3085,0,902,0,0,687165,6618,0,0,9199384,
0,262664,81,0,0,196,6,0,3,0,0,361882,443,0,0,2419593,
0,508867,795,0,0,5984598,7129,0,679,0,0,138337,8840,0,0,75,
0,246,3,0,0,132824,360,0,668,0,0,697544,3232,0,0,5209779,
0,599521,374,0,0,8828710,8587,0,90,0,0,75,7,0,0,30838,
0,253679,519,0,0,2263422,3444,0,870,0,0,1158153,6118,0,0,9321260,
0,391366,38,0,0,46,2,0,2,0,0,297591,548,0,0,2162183,
0,1080070,931,0,0,5704268,7168,0,680,0,0,680617,8809,0,0,0,
0,171,4,0,0,68808,185,0,318,0,0,894449,3182,0,0,5748348,
0,697611,609,0,0,8662072,8739,0,35,0,0,75,5,0,0,16326,
0,311307,387,0,0,1657544,2502,0,495,0,0,376333,6060,0,0,7700793,
0,426563,146,0,0,0,0,0,3,0,0,186514,247,0,0,1116301,
0,678682,761,0,0,5042105,4484,0,653,0,0,392972,8687,0,0,8693106,
0,25,2,0,0,478,31,0,99,0,0,624664,914,0,0,3611557,
0,1014695,435,0,0,6035100,7544,0,465,0,0,0,3,0,0,2828,
0,277761,359,0,0,1643883,2567,0,599,0,0,830746,5944,0,0,8477945,
0,633163,141,0,0,10307051,1,0,1,0,0,54093,128,0,0,674458,
0,889696,362,0,0,4695901,3728,0,602,0,0,566843,8592,0,0,8789138,
0,0,3,0,0,3613,101,0,562,0,0,563545,2304,0,0,4138176,
0,687838,1031,0,0,8428525,8284,0,181,0,0,0,2,0,0,440,
0,260676,503,0,0,1214081,2761,0,944,0,0,384430,5773,0,0,8345386,
0,610112,444,0,0,9999315,0,0,0,0,0,108323,76,0,0,1176710,
0,460607,721,0,0,4836987,5578,0,485,0,0,547907,8361,0,0,11020827,
0,21,4,0,0,442,24,0,464,0,0,853261,2087,0,0,4427224,
0,959824,342,0,0,7861106,7326,0,181,0,0,100149,0,0,0,150,
0,165947,345,0,0,1229457,2320,0,1037,0,0,656948,5110,0,0,8965197,
0,642950,383,0,0,10001857,10123,0,1,0,0,68169,143,0,0,1058541,
0,929827,774,0,0,4366627,5317,0,1000,0,0,631042,8430,0,0,10942708,
0,48165,0,0,0,346,27,0,402,0,0,406378,1925,0,0,3290698,
0,703768,627,0,0,7999713,7487,0,308,0,0,50077,9081,0,0,150,
0,148315,204,0,0,899046,1758,0,633,0,0,1053800,5263,0,0,9089268,
0,651781,442,0,0,10308035,10839,0,3,0,0,457,19,0,0,17038,
0,348516,623,0,0,1391833,2719,0,1129,0,0,622743,5884,0,0,7194243,
0,562684,0,0,0,271,9,0,277,0,0,546446,1965,0,0,3628363,
0,682876,615,0,0,7238081,7800,0,246,0,0,77496,9225,0,0,225,
0,55194,135,0,0,875999,1243,0,722,0,0,478222,4533,0,0,6827895,
0,656548,351,0,0,10173500,8744,0,1,0,0,5495,22,0,0,708759,
0,658170,622,0,0,3845150,4760,0,808,0,0,793300,7664,0,0,10203334,
0,64757,2,0,0,196,8,0,235,0,0,618205,1358,0,0,3850866,
0,699750,979,0,0,7041495,8358,0,745,0,0,48155,9056,0,0,150,
0,42817,109,0,0,759110,1612,0,819,0,0,430213,4659,0,0,7153589,
0,977567,721,0,0,10035494,9564,0,1,0,0,2228,7,0,0,278419,
0,829585,776,0,0,3864797,3579,0,581,0,0,1008837,7622,0,0,8589177,
0,60051,0,0,0,121,3,0,233,0,0,663053,1109,0,0,3171775,
0,629784,550,0,0,7271432,7203,0,403,0,0,155182,9326,0,0,0,
0,3117,26,0,0,462997,372,0,810,0,0,645090,4561,0,0,5731373,
0,609206,466,0,0,9787296,7697,0,16,0,0,150,5,0,0,226138,
0,902579,592,0,0,3605117,3661,0,854,0,0,873398,7466,0,0,9864684,
0,5345,64,0,0,46,2,0,120,0,0,349184,1095,0,0,2509779,
0,926736,825,0,0,7041932,6884,0,537,0,0,46830,9038,0,0,0,
0,56,7,0,0,704,23,0,212,0,0,696645,1399,0,0,4072860,
0,850540,495,0,0,7002755,6961,0,273,0,0,149,6,0,0,1243,
0,24197,95,0,0,705030,1311,0,467,0,0,589472,4563,0,0,6349162,
0,815437,397,0,0,0,5,0,2,0,0,2228,27,0,0,545826,
0,664178,425,0,0,3347441,4122,0,795,0,0,725423,7782,0,0,9240642,
0,171,8,0,0,1126,30,0,173,0,0,790105,1214,0,0,3558898,
0,608932,547,0,0,6653931,6855,0,306,0,0,117,4,0,0,1016,
0,6374,120,0,0,589617,1292,0,634,0,0,887127,4788,0,0,8073747,
0,726489,700,0,0,9957600,0,0,5,0,0,150,23,0,0,491107,
0,577002,745,0,0,3909688,4311,0,776,0,0,694650,7160,0,0,9885489,
