InConnections,,,, InConnections (Old),,,, OutConnections,,,, OutConnections(Old)
MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,MsgOut,BytesOut,MsgIn,BytesIn,
0,0,0,0,0,408,0,235,32,0,12,774,6,0,54,0,
0,0,0,0,0,1437,0,256,36,2714,7,2472,74,0,111,0,
0,0,0,0,0,1449,0,170684,47,3515,32,143369,115,0,155,0,
0,0,0,0,0,1066080,0,953780,118,1059113,101,2153830,253,0,404,0,
0,0,0,0,0,2859226,0,1184602,345,2598343,172,5511974,377,0,793,0,
0,0,0,0,0,2434116,0,1657008,260,7075823,112,9922934,983,0,1197,0,
0,0,0,0,0,1246264,0,1194641,161,11791762,111,12983636,1369,0,1494,0,
0,0,0,0,0,3042839,0,1594913,362,13128525,147,15334621,1680,0,1751,0,
0,0,0,0,0,1974618,0,0,1,0,1,0,2,0,1,0,
0,0,0,0,0,192,0,480,6,538,6,780,13,0,18,0,
0,0,0,0,0,192,0,50270,11,1480,11,72032,30,0,47,0,
0,0,0,0,0,562484,0,1286916,102,866823,174,1128437,153,0,228,0,
0,0,0,0,0,1811574,0,1942373,182,3832322,247,4485670,489,0,626,0,
0,0,0,0,0,2050982,0,1860975,232,7009006,146,8905873,872,0,1040,0,
0,0,0,0,0,1875294,0,1997841,230,10742395,222,11516538,1209,0,1356,0,
0,0,0,0,0,2138843,0,871514,242,14198999,68,15705586,1590,0,1689,0,
0,0,0,0,0,1833735,0,420887,172,16568655,23,17169760,1794,0,0,0,
0,0,0,0,0,75,0,75,0,271,3,300,6,0,8,0,
0,0,0,0,0,150,0,75,2,721,2,942,14,0,19,0,
0,0,0,0,0,502375,0,502668,79,222402,78,715794,70,0,151,0,
0,0,0,0,0,1839973,0,994995,161,2443526,136,3117991,364,0,403,0,
0,0,0,0,0,1251341,0,1108316,154,6503544,135,6760105,738,0,828,0,
0,0,0,0,0,1822605,0,1230907,215,9305854,152,9604536,1049,0,1097,0,
0,0,0,0,0,1992573,0,1218164,181,13682357,113,13959086,1480,0,1570,0,
0,0,0,0,0,2090837,0,872842,228,15691057,97,16623481,1779,0,1764,0,
0,0,0,0,0,21,0,75,0,46,2,96,3,0,3,0,
0,0,0,0,0,450,0,192,7,688,6,1103,15,0,20,0,
0,0,0,0,0,181059,0,220933,36,71999,42,353801,55,0,98,0,
0,0,0,0,0,1197429,0,814492,135,1399392,128,2404796,202,0,353,0,
0,0,0,0,0,1584594,0,2140819,131,5262542,216,5704857,633,0,757,0,
0,0,0,0,0,1043793,0,1104515,122,9125677,155,10294876,1006,0,1110,0,
0,0,0,0,0,2363211,0,1851275,247,11681045,251,13472962,1312,0,1494,0,
0,0,0,0,0,1434809,0,1804080,123,16148435,210,17850191,1716,0,1979,0,
0,0,0,0,0,681708,0,391004,54,17893419,0,0,0,0,1,0,
0,0,0,0,0,365,0,0,6,571,2,1115,14,0,16,0,
0,0,0,0,0,150,0,20228,7,1622,27,42257,34,0,43,0,
0,0,0,0,0,553285,0,593468,66,1107270,51,1570280,175,0,238,0,
0,0,0,0,0,1851228,0,989878,141,3463353,119,3565526,460,0,444,0,
0,0,0,0,0,2897401,0,1025520,251,6619904,122,6894876,790,0,826,0,
0,0,0,0,0,1809412,0,1506075,164,11203880,128,10167949,1201,0,1150,0,
0,0,0,0,0,2592536,0,1279443,273,13732080,96,13122425,1621,0,1449,0,
0,0,0,0,0,800964,0,570973,69,17649449,33,15095786,1886,0,1610,0,
0,0,0,0,0,0,0,96,1,121,4,471,5,0,10,0,
0,0,0,0,0,600,0,171,7,1235,3,1660,23,0,29,0,
0,0,0,0,0,351974,0,652610,70,233133,100,836224,121,0,167,0,
0,0,0,0,0,1509416,0,2035074,146,2496230,207,3944071,352,0,532,0,
0,0,0,0,0,1712757,0,1715727,175,5955677,82,8622700,753,0,999,0,
0,0,0,0,0,1932652,0,1286456,189,9558633,169,11120620,1063,0,1291,0,
0,0,0,0,0,933852,0,1072422,132,13892687,80,15804585,1503,0,1712,0,
0,0,0,0,0,1824014,0,1113056,151,16250764,108,17610231,1821,0,1912,0,
0,0,0,0,0,120381,0,0,1,0,0,75,2,0,1,0,
0,0,0,0,0,0,0,75,1,346,1,471,7,0,7,0,
0,0,0,0,0,90426,0,210894,23,61206,41,191812,29,0,45,0,
0,0,0,0,0,1186089,0,1004125,66,1919969,94,2504713,255,0,357,0,
0,0,0,0,0,1340482,0,1288122,170,4526810,142,5626537,534,0,692,0,
0,0,0,0,0,2187769,0,1340138,258,7414132,85,9586415,973,0,1021,0,
0,0,0,0,0,1265129,0,1131765,164,12131668,142,12295725,1325,0,1343,0,
0,0,0,0,0,1282238,0,1671770,168,15387212,104,15330762,1689,0,1628,0,
0,0,0,0,0,381027,0,180094,31,18092837,13,17174612,1913,0,0,0,
0,0,0,0,0,42,0,288,2,196,8,0,5,0,3,0,
0,0,0,0,0,213,0,405,3,880,27,10821,19,0,29,0,
0,0,0,0,0,411899,0,894202,71,745441,90,1629317,121,0,228,0,
0,0,0,0,0,1801539,0,2150896,152,3251827,217,3962578,465,0,507,0,
0,0,0,0,0,1372311,0,2503887,159,7039030,138,8767505,812,0,994,0,
0,0,0,0,0,1788162,0,2071478,199,10356540,125,12917952,1146,0,1405,0,
0,0,0,0,0,2212705,0,2230570,224,13833731,197,15632338,1571,0,1671,0,
0,0,0,0,0,1480592,0,1220728,118,17124261,119,17992048,1868,0,1928,0,
0,0,0,0,0,21,0,75,0,46,2,225,3,0,6,0,
0,0,0,0,0,171,0,215,4,636,4,921,13,0,23,0,
0,0,0,0,0,181354,0,341476,32,373782,58,545354,92,0,105,0,
0,0,0,0,0,1086494,0,1118124,137,1993326,132,2661453,306,0,402,0,
0,0,0,0,0,1671801,0,1505388,179,5387245,196,5666589,737,0,675,0,
0,0,0,0,0,1329939,0,2714320,169,9263367,261,9554543,1091,0,1148,0,
0,0,0,0,0,1325868,0,2603847,186,12894912,296,13795298,1472,0,1565,0,
0,0,0,0,0,549778,0,1350572,90,16584805,46,18750020,1789,0,2008,0,
0,0,0,0,0,411227,0,190643,39,17936546,0,0,0,0,0,0,
0,0,0,0,0,107,0,330,4,271,4,384,6,0,10,0,
0,0,0,0,0,430,0,251200,21,11124,40,122089,39,0,75,0,
0,0,0,0,0,734062,0,954809,110,1057401,141,2091947,177,0,285,0,
0,0,0,0,0,1498455,0,2323077,153,4529686,233,5405747,611,0,711,0,
0,0,0,0,0,1363435,0,2165713,163,8269445,262,9981340,1030,0,1175,0,
0,0,0,0,0,1281519,0,1743414,142,12454163,170,15650711,1384,0,1685,0,
0,0,0,0,0,2172441,0,1903392,243,15021768,201,18861221,1730,0,2102,0,
0,0,0,0,0,692691,0,289318,35,18716258,24,21824074,1987,0,2294,0,
0,0,0,0,0,0,0,150,0,121,3,96,4,0,8,0,
0,0,0,0,0,236,0,150,2,667,4,847,14,0,21,0,
0,0,0,0,0,392370,0,664359,61,735212,100,1218347,106,0,208,0,
0,0,0,0,0,1859375,0,1230195,192,2589487,154,4088504,393,0,568,0,
0,0,0,0,0,857540,0,1939587,143,6868547,211,7863744,779,0,953,0,
0,0,0,0,0,2149677,0,2212616,220,9839203,206,12626450,1119,0,1342,0,
0,0,0,0,0,2050324,0,2068019,221,13495189,153,17334557,1572,0,1876,0,
0,0,0,0,0,581861,0,1021246,86,17080344,92,20158116,1848,0,2178,0,
0,0,0,0,0,170195,0,168,0,63,11,0,3,0,2,0,
0,0,0,0,0,42,0,403,5,310,16,241,11,0,7,0,
0,0,0,0,0,159,0,607,3,898,22,788,22,0,24,0,
0,0,0,0,0,552661,0,893923,61,615091,141,1076820,121,0,221,0,
0,0,0,0,0,1549274,0,2113075,123,3274269,179,4877640,451,0,642,0,
0,0,0,0,0,1292703,0,1269340,156,6704097,126,9246716,792,0,1072,0,
0,0,0,0,0,2677149,0,1341166,276,9331318,124,12937843,1253,0,1416,0,
0,0,0,0,0,1283178,0,1913024,190,13974179,232,15789362,1547,0,1787,0,
0,0,0,0,0,2085662,0,700110,178,16178307,51,19199083,1743,0,0,0,
0,0,0,0,0,0,0,171,0,196,3,225,5,0,10,0,
0,0,0,0,0,430,0,70348,10,11245,33,132393,33,0,61,0,
0,0,0,0,0,713510,0,1205804,108,776051,128,1378189,172,0,263,0,
0,0,0,0,0,1317676,0,1943968,162,3776678,160,4903473,508,0,575,0,
0,0,0,0,0,1440073,0,1432033,211,6983118,159,7915913,859,0,918,0,
0,0,0,0,0,1616937,0,1295106,147,11406525,156,11448773,1273,0,1274,0,
0,0,0,0,0,2571818,0,1655142,187,14434347,133,14669543,1567,0,1621,0,
0,0,0,0,0,511754,0,471201,52,17882660,41,16873380,1876,0,1789,0,
0,0,0,0,0,21,0,0,0,46,2,75,3,0,5,0,
0,0,0,0,0,140,0,140,3,486,3,836,10,0,18,0,
0,0,0,0,0,422183,0,602760,75,212502,97,695724,55,0,144,0,
0,0,0,0,0,1259061,0,1375633,93,3038416,182,3238253,381,0,451,0,
0,0,0,0,0,1706589,0,1527353,204,5738035,189,6849846,708,0,848,0,
0,0,0,0,0,1351280,0,2138854,165,9960377,209,11224370,1185,0,1240,0,
0,0,0,0,0,1587880,0,2082855,148,13770245,259,14964710,1545,0,1635,0,
0,0,0,0,0,1424078,0,1067598,97,17054470,102,18898597,1820,0,2006,0,
0,0,0,0,0,170296,0,240806,11,18426987,0,0,0,0,1,0,
0,0,0,0,0,0,0,75,0,271,1,300,6,0,5,0,
0,0,0,0,0,90501,0,231068,29,30988,31,232022,42,0,59,0,
0,0,0,0,0,1166347,0,1347102,154,1077005,178,1429146,187,0,280,0,
0,0,0,0,0,1684297,0,1885925,184,4530131,116,5652717,565,0,659,0,
0,0,0,0,0,1534546,0,1631295,167,8520461,201,8439331,1005,0,1046,0,
0,0,0,0,0,1910842,0,1211640,222,11561575,147,12364584,1270,0,1320,0,
0,0,0,0,0,1631027,0,1062580,166,15312079,126,15114668,1632,0,1606,0,
0,0,0,0,0,440628,0,381632,27,18275729,37,17148742,1911,0,1821,0,
0,0,0,0,0,0,0,96,1,121,3,171,5,0,8,0,
0,0,0,0,0,386,0,290,5,882,8,51727,19,0,37,0,
0,0,0,0,0,502307,0,684643,85,615082,97,1117290,110,0,199,0,
0,0,0,0,0,1739359,0,1299339,125,3784093,94,5087220,452,0,604,0,
0,0,0,0,0,947757,0,1299612,88,8263965,181,8139291,928,0,1032,0,
0,0,0,0,0,1190645,0,889453,111,11617472,139,11938885,1273,0,1320,0,
0,0,0,0,0,1511330,0,1477055,150,14828037,92,15429303,1645,0,1701,0,
0,0,0,0,0,991642,0,883223,99,17473154,91,17092916,1857,0,1859,0,
0,0,0,0,0,30267,0,0,1,0,2,0,2,0,2,0,
0,0,0,0,0,171,0,225,3,517,1,932,13,0,14,0,
0,0,0,0,0,140621,0,542367,50,252674,75,513989,78,0,97,0,
0,0,0,0,0,1205045,0,2202346,80,2917066,197,3651799,348,0,513,0,
0,0,0,0,0,1047507,0,1760654,133,6068993,179,8006269,689,0,957,0,
0,0,0,0,0,1189946,0,1361046,117,9799019,141,12229371,1106,0,1386,0,
0,0,0,0,0,1299238,0,1807170,146,13458123,201,15940281,1464,0,1808,0,
0,0,0,0,0,763114,0,1133760,102,16800664,89,19406699,1794,0,2078,0,
0,0,0,0,0,801742,0,130334,61,17924109,8,20599559,1915,0,0,0,
