msgOut,bytesOut,msgIn,bytesIn
0,0,0,0,
4,156,0,0,
0,0,4,176,
0,0,5,265,
2,90,0,0,
7,321,0,0,
0,0,57,4061,
0,0,23,1417,
59,4589,0,0,
31,1911,0,0,
0,0,81,9623,
0,0,107,9015,
56,8008,0,0,
151,13945,0,0,
0,0,71,8571,
0,0,221,30529,
90,19140,0,0,
232,26152,0,0,
0,0,61,14337,
0,0,287,45531,
54,21220,0,0,
339,51595,0,0,
0,0,57,16581,
0,0,317,65787,
24,18508,0,0,
398,80682,0,0,
0,0,72,33526,
0,0,323,71077,
7,6565,0,0,
439,118735,0,0,
0,0,0,0,
0,0,410,119048,
0,0,0,0,
465,143695,0,0,
